Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZCUB5:Zone Mean Air Temperature [C](TimeStep),TZCUB6:Zone Mean Air Temperature [C](TimeStep),TZCUB7:Zone Mean Air Temperature [C](TimeStep),TZLABORATORIOS:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB5:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB6:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB7:Zone Mean Air Temperature [C](TimeStep),TZCUB7 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB7 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),TZCUB6 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB6 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),TZCUB5 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB5 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  07:30:00,20.7,24.682682064039257,24.95575973258939,23.845672138278219,23.77332965848387,23.63308868836956,24.160778791316923,22.68446735985708,-3.8233527817075108,99.99696124104097,-2.654172303658767,96.12376396997157,-2.8431920381413628,98.17542104454324 
 05/03  07:40:00,21.2,24.71082730728661,24.994270532894313,24.13189910728086,23.709869204761234,23.58446136167468,24.120570285038249,23.123656455498176,-3.723648907154508,99.9926547274741,-2.6315522045441406,95.79227732867359,-2.8267074611379536,98.04167402760902 
 05/03  07:50:00,22.0,24.764082676814568,25.07227685840088,24.486113509597609,23.594954288199689,23.531199880072636,24.075109724823215,23.347275795489027,-3.5982255860272458,99.97951333733123,-2.5943553994480816,95.201593350556,-2.800800208843935,97.81576478687504 
 05/03  08:00:00,22.9,24.81728459120913,25.151194080002836,24.639006194049747,23.519326158660353,23.49191379433244,24.04228621400873,23.59113278876301,-3.5355649682511838,99.96693128427514,-2.553183936025037,94.4786896576779,-2.7734262494633037,97.55510168857421 
 05/03  08:10:00,24.3,24.88372834008598,25.241344753963096,24.732202323834707,23.48457215480474,23.46533116292106,24.02232668476684,23.837185905402334,-3.4858671090848625,99.95238948199676,-2.505026177407954,93.53637729011617,-2.7349841006594226,97.14843300912624 
 05/03  08:20:00,24.3,24.92858923551848,25.309803332949838,24.787883393691844,23.473308632929127,23.436694824717408,23.997811235259357,23.755634207786668,-3.460633837565526,99.94300010293115,-2.4813599055827577,93.03361195493065,-2.716472237587693,96.93472123902196 
 05/03  08:30:00,24.4,24.94946308188199,25.3506869291974,24.82402152366501,23.478801288176379,23.417204151824618,23.980304950956787,23.743891433400749,-3.440716890691484,99.9344536415409,-2.4643591612231288,92.65589520544759,-2.706176935746328,96.81062390872816 
 05/03  08:40:00,24.7,24.96658789065149,25.37917534307013,24.872565319182763,23.504725214034449,23.41120883189748,23.974872369909617,23.88843587833133,-3.416592867456258,99.92258220335168,-2.4481432770379087,92.28253659936934,-2.694559821768394,96.66598560320138 
 05/03  08:50:00,25.1,24.999971794523704,25.414690062898438,24.939554620094748,23.555585096944197,23.41828057073827,23.98024049608153,24.021077577959866,-3.3791365398088475,99.90033993150496,-2.425353965190214,91.7359782706764,-2.672215599106625,96.37370319713902 
 05/03  09:00:00,25.4,25.047824256012804,25.458315023428026,25.02791956707099,23.63273463176471,23.43424353380609,23.9923739719857,23.933503204164574,-3.3375281627506729,99.8691514471266,-2.4009207234244278,91.12128620983714,-2.6464264292872579,96.01255459961408 
 05/03  09:10:00,25.9,26.595921782654729,27.0216052485698,26.529031200430294,23.715753297155609,23.459989583396135,24.013315113452657,24.25180689284445,-0.20674615426863328,5.886479441574025,0.3873766193484619,8.125488376709385,0.2425481420118988,6.220913119675259 
 05/03  09:20:00,26.2,26.943607283031424,27.329141945484364,26.85009656973842,23.82211716398798,23.491322734433078,24.03795957675431,24.378479596488576,-0.11499555641286119,5.273904368391825,0.4775334140818678,9.762618600568559,0.34055983023596339,7.412550281728471 
 05/03  09:30:00,26.3,27.17574075609465,27.549067031424273,27.049956002051787,23.944586828053838,23.53609975453447,24.066859775193195,24.354708994561756,-0.06608836816520437,5.090430700263042,0.5286496165528131,10.846333552572049,0.395609123420397,8.26052064282571 
 05/03  09:40:00,26.4,27.615095855763458,27.966172182885069,27.403457064663209,24.16747008517045,23.598996331009006,24.10957174137384,24.309403831069078,0.0218307281715806,5.009865669804768,0.6299202579806223,13.327644582414152,0.5021745777569091,10.270938654024946 
 05/03  09:50:00,26.4,27.79013104664983,28.12601717991411,27.520120614017455,24.361209363999956,23.6674492839573,24.154034636706329,24.29773616718439,0.0651614319422142,5.087911302388704,0.6847960436591589,14.858033402117656,0.5611636483018035,11.594501288946973 
 05/03  10:00:00,25.9,27.781768613433106,28.106835891441084,27.470809534350346,24.53704926280809,23.73928424343626,24.205977280370406,24.15478909644899,0.06682994121958345,5.092471927088738,0.6992577117331031,15.283045372268163,0.5789425540081438,12.02298851509066 
 05/03  10:10:00,26.2,27.78296465646635,28.096396081027526,27.476667210357804,24.720207846817396,23.827999166205978,24.274600337161126,24.118018393435084,0.07751464161834457,5.1244128225679479,0.7193213795747334,15.887643211693529,0.6027356342299125,12.617881797273754 
 05/03  10:20:00,26.9,27.862083765583507,28.165320212407566,27.640466842348489,24.871873736631878,23.93014575676044,24.355770146137507,24.736264982351555,0.12603105397458398,5.329035670569752,0.7493153383778853,16.82378696152047,0.6365266991645604,13.504975325269954 
 05/03  10:30:00,27.2,27.922309063598207,28.21482286869581,27.771243201474186,25.03582498616948,24.021423090668134,24.426410833726544,25.011257660797378,0.1673292703088972,5.580312517935127,0.7723016980170581,17.567310593910365,0.663342824316587,14.244208818184163 
 05/03  10:40:00,27.3,28.00273580613277,28.277828381408044,27.90712301139935,25.27923112877003,24.137799782243439,24.517630046004439,25.235629793889708,0.21014804310094,5.915947839150789,0.8012724383509802,18.53646949969925,0.6975564695413041,15.232578898803198 
 05/03  10:50:00,27.4,28.058929962895144,28.320392889069355,27.956502050036009,25.457937140239289,24.25514442821818,24.609698043348119,24.855081377492298,0.22889557993550425,6.0870419714947989,0.8221867767226808,19.258198285867864,0.7233757267569678,16.011923576784726 
 05/03  11:00:00,27.6,28.158278463411066,28.39651305144028,28.08380952755474,25.739014921057448,24.387689840216294,24.715364676939676,25.247583671020345,0.2647457038696194,6.455290656249019,0.8597872661578332,20.601876906264424,0.7675453607772117,17.41160878842183 
 05/03  11:10:00,28.5,28.246280896374637,28.468076710148,28.27861477704078,25.936994712810276,24.530913752551464,24.83240064590632,25.566073792838666,0.32226395473988858,7.1592695386679,0.9019141395327638,22.17680317611486,0.8150674209454032,19.01044808118587 
 05/03  11:20:00,28.0,28.305875396349113,28.511444669778645,28.36625829669746,26.13654293460742,24.657381433693837,24.932198209633677,25.664468347175345,0.3493807609765192,7.539742602009909,0.9263242775719672,23.12244237762583,0.8446633581676984,20.054323805564068 
 05/03  11:30:00,29.1,28.369740491737539,28.56289808482264,28.51224812015993,26.29887085731358,24.813086257943448,25.06021390545294,26.014215360277555,0.4004263756492656,8.340878705844915,0.9559597113174101,24.302522488570987,0.879345932728957,21.32402741993816 
 05/03  11:40:00,29.2,28.45351640293091,28.627266551268336,28.653786199912405,26.5205520443361,24.973627401476305,25.18442274423091,26.191693251770809,0.44081171591956455,9.05366349438782,0.9825872677713228,25.39224960153912,0.9121536135625149,22.57055044509019 
 05/03  11:50:00,29.9,28.519000500449694,28.67771017018071,28.755141909180148,26.69542431589892,25.136200404779659,25.313434202156438,26.710244496487137,0.4800900058948187,9.814139753796724,1.0099877453300903,26.54207917653018,0.9449274089364538,23.859151763888336 
 05/03  12:00:00,30.5,28.6343371884375,28.76717980569466,28.940579956237749,26.955033615549895,25.351180373561808,25.472487486514717,27.000246900311553,0.5367336909375153,11.028074397307279,1.0533745182000394,28.420184424015006,0.9958549163563938,25.945443860694128 
 05/03  12:10:00,31.4,28.70055400334361,28.820042760934247,29.113062293597236,27.091104984343855,25.53008438910406,25.63103746483859,27.695086245189758,0.5927733181856033,12.365806298091855,1.0838188358936905,29.778682142946466,1.031683842333791,27.472584412456486 
 05/03  12:20:00,30.8,28.749122618283569,28.852883588600937,29.17761411822675,27.24729238278165,25.682125921353376,25.752261573843243,27.125002093930524,0.6154409514722959,12.945612917662644,1.0970198016107283,30.37782109637685,1.0507938889325015,28.30654900288242 
 05/03  12:30:00,30.6,28.845002410585705,28.919407860793659,29.227634232083177,27.498652646028483,25.89163684586705,25.925509084445939,27.554532617159887,0.6389868414425263,13.571494481629486,1.1250837278716628,31.67118369371198,1.0893585269664564,30.029374865703646 
 05/03  12:40:00,30.8,28.925520304272184,28.975643017493775,29.295984387673458,27.689758278175156,26.077683215871166,26.081706431072708,27.68221866567383,0.6700086351240269,14.43279923861428,1.147610986671555,32.72815394348078,1.1303969637960978,31.91899683459961 
 05/03  12:50:00,30.9,28.972493844571038,29.009195854616615,29.39616306737699,27.80696626746303,26.245838049819999,26.225950003729176,27.039627255255327,0.6997635241494874,15.298074136808737,1.1643721605694449,33.525061577040677,1.1533719349196936,33.001064283728229 
 05/03  13:00:00,31.5,29.010449660282484,29.0296192197137,29.524326436890627,27.93487357305864,26.39574967170229,26.351895004805749,27.51287808472322,0.7305051557544977,16.23218163133373,1.1724114612140376,33.9103799569787,1.1695662190083454,33.77378316338205 
 05/03  13:10:00,31.8,29.076320722783416,29.072802388957247,29.443058803178148,28.09528371225787,26.57663174764528,26.506620504547109,28.39828242253727,0.7365837922164266,16.421701934791174,1.1913845175657505,34.82748829637397,1.1973108619272144,35.11613622895247 
 05/03  13:20:00,32.0,29.21310706781028,29.179303396098786,29.753140274552665,28.278219846162718,26.78001920421935,26.683501168469399,27.59570493887736,0.8224296421964291,19.266687485030674,1.2389238194142765,37.17092712446179,1.2557526994513,38.015185748048789 
 05/03  13:30:00,31.8,29.273861225413584,29.224872256485044,29.736325428024249,28.379887211181335,26.90843756289221,26.79718624107211,28.449735104002867,0.8326563383071517,19.626401547505965,1.2555655774370825,38.00575824607633,1.2795144907203622,39.21941683671335 
 05/03  13:40:00,31.6,29.348653764366334,29.280536332221574,29.853779414666766,28.4910029275767,27.049691565111819,26.92800466565826,27.818568859519269,0.8616776538445016,20.670984754242015,1.278526527829929,39.16907364945528,1.3109056492383167,40.83073014461221 
 05/03  13:50:00,32.8,29.47848662708313,29.38409050863965,30.080435312111278,28.631721751237074,27.24049724909596,27.102259258699,29.160433867809183,0.92527194688169,23.081181093531784,1.3233163732557106,41.473757777030808,1.3657448049894899,43.695203862852498 
 05/03  14:00:00,33.5,29.630724286844104,29.503108566094736,30.22815245663829,28.783721179767004,27.4263770461259,27.26502998128187,29.442412969582457,0.9754697939630092,25.098273518606363,1.368438059232007,43.83733469411965,1.4244094530317957,46.81690726496405 
 05/03  14:10:00,31.8,29.636948019157886,29.4796358441507,30.139897650897454,28.90125817203256,27.498479074524547,27.34444755741069,28.49252036823668,0.9452500049994135,23.872048235205356,1.3446901205540232,42.58855191706345,1.4131968518148335,46.21640195484869 
