Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZCUB5:Zone Mean Air Temperature [C](TimeStep),TZCUB6:Zone Mean Air Temperature [C](TimeStep),TZCUB7:Zone Mean Air Temperature [C](TimeStep),TZLABORATORIOS:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB5:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB6:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB7:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,23.0,25.40055594537985,24.91004565927323,25.288446951685147,28.09341789583791,26.566499403195903,26.625159936168058,25.868327828551025 
 05/03  00:20:00,23.0,25.336874590682095,24.861358875697176,25.230989061707616,28.020942881860039,26.520546662606038,26.586290794452674,25.435705572977633 
 05/03  00:30:00,23.0,25.222221448158885,24.777530059982035,25.1421084033692,27.892213305330189,26.44348838158368,26.51176749785136,25.14070563824958 
 05/03  00:40:00,22.8,25.138024110301687,24.718943352433234,25.060314101508007,27.786939100839054,26.37442772764038,26.44729555669306,25.356031400963795 
 05/03  00:50:00,22.7,25.121482936204488,24.710872052820159,25.033314788133443,27.73259401946303,26.313836914259818,26.399324038278708,24.936354934232953 
 05/03  01:00:00,22.6,25.053170948360177,24.66819730431347,24.94955967523986,27.6125023343715,26.234056006177967,26.317645700064053,25.381932531385318 
 05/03  01:10:00,22.5,24.994285387744669,24.630930179566144,24.910266149248778,27.514936378657106,26.16306225049137,26.252735097659014,24.89105830504793 
 05/03  01:20:00,22.4,24.941045138383197,24.59726039561248,24.878476447747905,27.419435714024727,26.089396951603669,26.189766838098973,25.03358276253502 
 05/03  01:30:00,22.3,24.88831443384084,24.564187177032559,24.844058857087125,27.31698887164174,26.010537543541216,26.122312089420949,24.89142844245094 
 05/03  01:40:00,22.4,24.84007830820675,24.536079633783879,24.80482013932207,27.21327646565004,25.935825652807805,26.058836449276116,24.820991226285618 
 05/03  01:50:00,22.5,24.7972413730494,24.51354914170009,24.753830889197233,27.111140921964734,25.86253745364361,25.997914173353818,25.079420138246176 
 05/03  02:00:00,22.3,24.74915107437366,24.485547423016987,24.699043448295343,27.00974343729527,25.785798336024258,25.933704812015266,24.86739217315177 
 05/03  02:10:00,22.1,24.71467362184761,24.461857316081209,24.68392826662405,26.94195805091044,25.71663022170321,25.877897983979289,24.49061141099586 
 05/03  02:20:00,22.0,24.65694346791749,24.42348261791691,24.62190054725612,26.835126540792044,25.637992568707248,25.81055806922641,24.542458640613924 
 05/03  02:30:00,22.0,24.591077065637476,24.3820515315487,24.569581884682117,26.7106285531309,25.555999968715395,25.741371746008537,24.28394241405898 
 05/03  02:40:00,21.9,24.530891910575979,24.344682981992606,24.505915662059924,26.59863176010639,25.480326590771545,25.678700493803956,24.148491143699464 
 05/03  02:50:00,21.9,24.4996547472971,24.325457287275954,24.44604289134633,26.52590956737452,25.409081831806156,25.620700765760544,24.86115149237599 
 05/03  03:00:00,21.7,24.46196283835897,24.300215118929839,24.40169806581826,26.449288791406013,25.340439887477907,25.564510414558926,24.4306459111828 
 05/03  03:10:00,21.7,24.399171060405597,24.259140478334314,24.299589483823988,26.329212782076654,25.257331302690557,25.49307993443387,24.72575717987066 
