time,Speed,Dir
2019-05-03 18:10:00,2.7238999999999995,344.44
2019-05-03 18:20:00,2.1748,339.16999999999996
2019-05-03 18:30:00,2.7577000000000003,307.40160000000003
2019-05-03 18:40:00,1.4308999999999998,71.708
2019-05-03 18:50:00,2.2298999999999998,15.124699999999999
2019-05-03 19:00:00,1.3241,248.07600000000002
2019-05-03 19:10:00,1.7389000000000003,280.49080000000004
2019-05-03 19:20:00,2.3771,282.2118
2019-05-03 19:30:00,2.5698,353.36
2019-05-03 19:40:00,2.8979,317.7287
2019-05-03 19:50:00,4.1030999999999995,335.35
2019-05-03 20:00:00,3.9301000000000004,329.79
2019-05-03 20:10:00,2.4742,226.88199999999998
2019-05-03 20:20:00,1.6455000000000002,58.085
2019-05-03 20:30:00,1.0034999999999998,24.520899999999997
2019-05-03 20:40:00,1.7523,76.42960000000001
2019-05-03 20:50:00,1.5270000000000001,79.0805
2019-05-03 21:00:00,2.6443,349.6
2019-05-03 21:10:00,2.984,344.25999999999993
2019-05-03 21:20:00,2.7489,343.89
2019-05-03 21:30:00,2.1174,317.9689
2019-05-03 21:40:00,1.0408999999999997,79.79339999999999
2019-05-03 21:50:00,0.9899000000000001,118.87400000000002
2019-05-03 22:00:00,2.1184,34.171
2019-05-03 22:10:00,2.2337,79.4222
2019-05-03 22:20:00,1.8614000000000002,277.0273
2019-05-03 22:30:00,2.6664000000000003,212.2581
2019-05-03 22:40:00,1.9288,248.14249999999998
2019-05-03 22:50:00,1.4861,231.2165
2019-05-03 23:00:00,1.4849999999999999,333.5400000000001
2019-05-03 23:10:00,2.3125999999999998,334.19
2019-05-03 23:20:00,3.2504999999999997,345.96000000000004
2019-05-03 23:30:00,1.8523999999999998,200.0355
2019-05-03 23:40:00,1.6468,295.0499
2019-05-03 23:50:00,2.2588,331.2099999999999
2019-05-04 00:00:00,2.9699,334.01
2019-05-04 00:10:00,2.6736999999999997,280.18399999999997
2019-05-04 00:20:00,3.3682000000000003,311.3864
2019-05-04 00:30:00,2.8765,346.38
2019-05-04 00:40:00,2.7702999999999998,338.85
2019-05-04 00:50:00,2.2714000000000003,343.93
2019-05-04 01:00:00,1.4465999999999999,241.30599999999998
2019-05-04 01:10:00,0.7142,275.42
2019-05-04 01:20:00,1.0355999999999999,317.69
2019-05-04 01:30:00,1.4022000000000001,312.03999999999996
2019-05-04 01:40:00,0.966,322.83000000000004
2019-05-04 01:50:00,1.3958000000000002,323.53
2019-05-04 02:00:00,2.1452999999999998,336.74
2019-05-04 02:10:00,2.1438,340.42
2019-05-04 02:20:00,2.0222,350.44999999999993
2019-05-04 02:30:00,2.138,349.61
2019-05-04 02:40:00,2.2433000000000005,348.52
2019-05-04 02:50:00,2.3485000000000005,350.72999999999996
2019-05-04 03:00:00,2.6715999999999998,342.12
2019-05-04 03:10:00,2.8312999999999997,340.63
2019-05-04 03:20:00,2.5177,343.60999999999996
2019-05-04 03:30:00,2.4769,337.85
2019-05-04 03:40:00,2.5698999999999996,343.67
2019-05-04 03:50:00,2.2458,341.08000000000004
2019-05-04 04:00:00,2.8792999999999997,332.38
2019-05-04 04:10:00,2.6465,338.32
2019-05-04 04:20:00,2.4989,345.91
2019-05-04 04:30:00,2.3665,351.15
2019-05-04 04:40:00,2.6503,353.41
2019-05-04 04:50:00,2.6769000000000003,349.85
2019-05-04 05:00:00,2.6703,341.33
2019-05-04 05:10:00,2.4945999999999997,342.34
2019-05-04 05:20:00,2.6882999999999995,337.94
2019-05-04 05:30:00,2.2226,340.05
2019-05-04 05:40:00,2.0375,336.86999999999995
2019-05-04 05:50:00,1.6963000000000001,331.96
2019-05-04 06:00:00,1.2495999999999998,322.44
2019-05-04 06:10:00,1.0635,289.65999999999997
2019-05-04 06:20:00,1.0474999999999999,304.21999999999997
2019-05-04 06:30:00,1.6797999999999997,313.77
2019-05-04 06:40:00,2.1205999999999996,323.30999999999995
2019-05-04 06:50:00,2.2666,330.75
2019-05-04 07:00:00,2.0216000000000003,341.23
2019-05-04 07:10:00,1.6137000000000001,332.41999999999996
2019-05-04 07:20:00,1.5787999999999998,345.04
2019-05-04 07:30:00,1.3577,340.87
2019-05-04 07:40:00,0.8240000000000001,305.61
2019-05-04 07:50:00,0.49670000000000003,274.21850000000006
2019-05-04 08:00:00,0.5002,30.976999999999997
2019-05-04 08:10:00,0.5275000000000001,100.675
2019-05-04 08:20:00,0.9981,158.68
2019-05-04 08:30:00,0.567,165.06
2019-05-04 08:40:00,1.2485,186.55
2019-05-04 08:50:00,1.6030000000000002,188.87
2019-05-04 09:00:00,1.5511,181.98
2019-05-04 09:10:00,1.2776,185.47
2019-05-04 09:20:00,1.5713,194.54999999999998
2019-05-04 09:30:00,1.6127999999999996,209.6
2019-05-04 09:40:00,1.498,165.48000000000002
2019-05-04 09:50:00,1.2517,163.7
2019-05-04 10:00:00,1.3075999999999999,161.5
2019-05-04 10:10:00,1.1878999999999997,156.89
2019-05-04 10:20:00,1.2443,137.867
2019-05-04 10:30:00,1.1614999999999998,175.13000000000002
2019-05-04 10:40:00,1.4229000000000003,142.67800000000003
2019-05-04 10:50:00,1.1112,164.805
2019-05-04 11:00:00,1.1997000000000004,156.26000000000002
2019-05-04 11:10:00,1.2374,110.954
2019-05-04 11:20:00,1.6924,160.217
2019-05-04 11:30:00,1.9152,204.95999999999998
2019-05-04 11:40:00,1.9622999999999997,124.42999999999999
2019-05-04 11:50:00,2.0074,137.26
2019-05-04 12:00:00,1.9056000000000002,163.18
2019-05-04 12:10:00,1.2465,124.13899999999998
2019-05-04 12:20:00,2.0419,133.95
2019-05-04 12:30:00,1.3751,98.91
2019-05-04 12:40:00,1.7137,149.7198
