Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZCUB5:Zone Mean Air Temperature [C](TimeStep),TZCUB6:Zone Mean Air Temperature [C](TimeStep),TZCUB7:Zone Mean Air Temperature [C](TimeStep),TZLABORATORIOS:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB5:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB6:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB7:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,23.0,26.76843827046661,26.447936854293915,26.54891573581197,28.093372167298634,26.908558030488338,26.95490192979548,26.007200836971806 
 05/03  00:20:00,23.0,26.695944476854565,26.387884133381,26.492392357077877,28.020897894110968,26.86203610484482,26.9200199117533,25.627364947771388 
 05/03  00:30:00,23.0,26.560591804411837,26.27937711431666,26.40404441775285,27.892169551740634,26.785399796660586,26.853827028086543,25.32041571210418 
 05/03  00:40:00,22.8,26.460817089478206,26.202606990492336,26.315581810665085,27.786896315336635,26.716227070575738,26.79612783763204,25.540260228101937 
 05/03  00:50:00,22.7,26.447511370958354,26.196565789461489,26.28058021929693,27.732551754329003,26.65434155590999,26.74825397052926,25.113087197125517 
 05/03  01:00:00,22.6,26.37480977981027,26.146591848545677,26.180720420631198,27.61246111850576,26.574647622758009,26.67954084186284,25.562618521480599 
 05/03  01:10:00,22.5,26.312081862426447,26.10330095188617,26.148892197837207,27.514895955359948,26.50312670376548,26.62142521443097,25.067376773207678 
 05/03  01:20:00,22.4,26.257607418153279,26.066424864168029,26.129417373486086,27.41939604619959,26.429204843195149,26.56116770664368,25.21305115342628 
 05/03  01:30:00,22.3,26.205892770090878,26.032159434455079,26.108322745784336,27.316949993397008,26.35008964197805,26.496029787411144,25.0665107929807 
 05/03  01:40:00,22.4,26.15935519144315,26.003395560371254,26.075678817794445,27.213238350141677,26.274884865239355,26.434399029379418,24.99767586202503 
 05/03  01:50:00,22.5,26.118074493260094,25.979905178694258,26.016463853937908,27.11110352356921,26.200759441425086,26.374164249832164,25.256761706097544 
 05/03  02:00:00,22.3,26.071886097398143,25.951137075541724,25.953169565174166,27.009706727216469,26.123006714821174,26.310597519584737,25.040059957463197 
 05/03  02:10:00,22.1,26.040479448247646,25.928455893976595,25.945652507533759,26.941921820446426,26.052571628900855,26.254822296395525,24.662322588064748 
 05/03  02:20:00,22.0,25.984934884342044,25.88859863865883,25.882452218196339,26.83509101363288,25.972791399103934,26.188715103389617,24.715475958959236 
 05/03  02:30:00,22.0,25.92080555425485,25.844406703411559,25.83032537942484,26.710593802640618,25.889920757598039,26.121105958999608,24.450369730327198 
 05/03  02:40:00,21.9,25.862458623113964,25.80476011880501,25.759136993118977,26.598597678753469,25.81338778368818,26.05911416792189,24.31489744184025 
 05/03  02:50:00,21.9,25.835029042973475,25.784716879807609,25.68687893961087,26.525875952351034,25.740480535080374,25.999930698713233,25.020759177945807 
 05/03  03:00:00,21.7,25.80252175951935,25.759166940655136,25.639582909186005,26.449255654318763,25.670741180154825,25.94323930135735,24.597990641694389 
 05/03  03:10:00,21.7,25.730387537969567,25.704259685453264,25.485705060230268,26.307638754527028,25.582139297623955,25.866714755352409,25.3025459973933 
 05/03  03:20:00,21.8,25.670966080396405,25.661383579670216,25.37198740697771,26.19049205880053,25.506457290767427,25.80432186545757,25.156870261386275 
 05/03  03:30:00,21.5,25.646130339393669,25.641455820891417,25.347226296904798,26.13356175369618,25.433504976008984,25.74312531903112,24.91788165415893 
 05/03  03:40:00,21.4,25.596016606550589,25.602480616968415,25.287603954710705,26.03305928602018,25.35445585983241,25.674620466634754,24.887657890427055 
 05/03  03:50:00,21.1,25.545502918691427,25.56288255153865,25.220438885127586,25.943598496600108,25.276013863528087,25.605434329692036,24.491257774599384 
 05/03  04:00:00,21.2,25.45859095070781,25.497315913373464,25.106904035253416,25.800359323006889,25.196377371275067,25.535130010292723,24.89951884973597 
 05/03  04:10:00,21.0,25.385297400156639,25.442256949592737,25.007691124267369,25.686962236803056,25.116491422857256,25.46494972475535,24.85025626771547 
 05/03  04:20:00,20.8,25.35491288064189,25.419636059773017,25.036488779940986,25.619586991568008,25.04079926263061,25.399381024396996,23.864231505248598 
 05/03  04:30:00,20.9,25.313885837440954,25.390817566898396,25.045122244493876,25.523648135945117,24.966163562880419,25.333621382131896,24.096720009010295 
 05/03  04:40:00,20.8,25.254756945029056,25.34837595830415,24.990595638604068,25.40488828813637,24.882258222542139,25.258687624233624,24.20333503195666 
 05/03  04:50:00,21.1,25.237150338478803,25.340003749394826,25.006601450778154,25.334799826343308,24.817876186047678,25.204078559650268,23.797200630097714 
 05/03  05:00:00,20.8,25.190846788501447,25.30929437344856,25.012404729061623,25.227756977997815,24.736985454437329,25.13212390272044,23.58667241356624 
 05/03  05:10:00,20.8,25.126622314575564,25.26418568118224,24.981999618515176,25.102295868451276,24.652358065314606,25.056971999158415,23.80960084367532 
 05/03  05:20:00,20.1,25.03540076700504,25.189765121857975,24.834491766916537,24.989982527318,24.564868812872168,24.977248250198814,23.68800336623791 
 05/03  05:30:00,20.1,24.952130231609258,25.120056472263376,24.675286306944654,24.892034043525429,24.48856658490608,24.909838983338344,23.904715888330878 
 05/03  05:40:00,19.5,24.900916913670217,25.07620163678139,24.60859498933064,24.824808082238066,24.408792127773709,24.838929059602035,23.298670558984126 
 05/03  05:50:00,19.6,24.85251594707134,25.038022932871223,24.656480394120899,24.739392946382155,24.33850637423368,24.777512768742996,22.388039493455105 
 05/03  06:00:00,19.5,24.8090551399364,25.005430412563695,24.601748431189479,24.656414268917567,24.26176646778993,24.710072058781308,22.938845937364755 
 05/03  06:10:00,19.6,24.746131186400605,24.959498958292654,24.52617769274175,24.535321777740586,24.178730258949238,24.636186784327987,23.231885889878936 
 05/03  06:20:00,19.9,24.717726326745895,24.942637111455669,24.59507556804786,24.448627759920748,24.10144901439907,24.568572282756777,22.434548178156157 
 05/03  06:30:00,19.6,24.66946556460972,24.911544935215564,24.63005268079045,24.337368173426474,24.023012484802174,24.49922806898844,22.69207361921381 
 05/03  06:40:00,19.4,24.627754153896036,24.880913056232335,24.567474856443146,24.255423174357476,23.942589542974515,24.42754545206364,22.191162204498228 
 05/03  06:50:00,19.5,24.581710388882134,24.850203890360047,24.4570923630232,24.14083702735975,23.8682341689087,24.362236873069976,22.16651374233364 
 05/03  07:00:00,19.8,24.570516431478699,24.84996303289671,24.42053575903384,24.050491468184644,23.795921874159963,24.300285489168478,22.976073946365646 
 05/03  07:10:00,20.1,24.569259442053988,24.85623663848706,24.357594791882997,23.974046291161185,23.736171330244404,24.249145685329219,23.518312496208666 
 05/03  07:20:00,20.1,24.560082312253983,24.863553014726187,24.290012373425975,23.83077778454155,23.661501498125277,24.184647276708259,23.29519893123946 
 05/03  07:30:00,20.7,24.584513184888146,24.89493509190782,24.379599913443707,23.773029411070934,23.61158984000579,24.14512443425924,22.691541037989084 
 05/03  07:40:00,21.2,24.614638079997389,24.93525135744768,24.47873419490287,23.70958005854338,23.562549919524384,24.104644447695337,23.130049782375438 
 05/03  07:50:00,22.0,24.67289324606756,25.01811723874424,24.616321041221423,23.594691943690969,23.508764781593926,24.058841686448475,23.353879769818556 
 05/03  08:00:00,22.9,24.73168504746715,25.102719993602894,24.70372536803616,23.5190806173377,23.46910418537209,24.025788644050207,23.59845095578468 
 05/03  08:10:00,24.3,24.803626766792026,25.198642847268866,24.784537505861758,23.484334368240018,23.442199742971018,24.005637993778245,23.844845704386257 
 05/03  08:20:00,24.3,24.85353852632404,25.272427794526029,24.840608744257268,23.473076478219168,23.41324792298044,23.980952454398897,23.762899413948959 
 05/03  08:30:00,24.4,24.87849616438908,25.31764680871499,24.874472946538629,23.478575785280929,23.393456845969234,23.96326991898487,23.751296184677856 
 05/03  08:40:00,24.7,24.898587366700509,25.3485963399267,24.90639058906988,23.50450684996669,23.38722596537904,23.957753685551965,23.894988715671457 
 05/03  08:50:00,25.1,24.93465591384074,25.385675477322797,24.95082777995876,23.55537332782378,23.39409804280995,23.96310257558404,24.026860234399824 
 05/03  09:00:00,25.4,24.985661664577408,25.43093765564484,25.008578371448757,23.632528737612547,23.40986075407037,23.9752222966514,23.939049212947184 
 05/03  09:10:00,25.9,26.55450279798601,27.00147241556064,26.553889658282708,23.715551399612996,23.435307591004024,23.996160098152829,24.256834336564105 
 05/03  09:20:00,26.2,26.932753231106866,27.35100452407958,26.920157775838427,23.8219196320363,23.46814909341816,24.020816147907799,24.38308498581179 
