Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZCUB5:Zone Mean Air Temperature [C](TimeStep),TZCUB6:Zone Mean Air Temperature [C](TimeStep),TZCUB7:Zone Mean Air Temperature [C](TimeStep),TZLABORATORIOS:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB5:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB6:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB7:Zone Mean Air Temperature [C](TimeStep),TZCUB7 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB7 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),TZCUB6 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB6 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),TZCUB5 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB5 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  09:10:00,25.9,26.160034973668887,26.629734380666315,26.20837923738359,22.822443167546543,23.32474865281149,23.924802867222977,24.203857552783736,-0.30219517853041957,6.897762806840134,0.26591308912166519,6.4681905172492979,0.10300326083011262,5.219729565770152 
 05/03  09:20:00,26.2,26.470965900346575,26.924636041052258,26.49224460759519,22.863238673443445,23.363912849085354,23.950318106887996,24.335446665516686,-0.22314814212543364,6.033023998754686,0.34716673379565668,7.507506803198197,0.1876663382624207,5.730174180992165 
 05/03  09:30:00,26.3,26.704999506159028,27.14889724881182,26.697884495725025,22.91732478783841,23.409822982505525,23.980254301066148,24.3054331300152,-0.1761870110590242,5.643462408094862,0.3965485842295586,8.27611416944805,0.23944228861423506,6.189770936057272 
 05/03  09:40:00,26.4,27.126626308551367,27.553499613268174,27.044905720173654,23.023094232084796,23.47636636060615,24.02392909224591,24.264059113594585,-0.09523276938482425,5.187814739440057,0.48759210023453666,9.96695195003143,0.33438943451161787,7.325542106988351 
 05/03  09:50:00,26.4,27.291710907537735,27.708166912633858,27.158902130746005,23.131409887124076,23.547299137509638,24.07310816380194,24.25326262581193,-0.057472927529371147,5.068386723913974,0.5325849863503142,10.934452414470073,0.38211483309695756,8.040699643751694 
 05/03  10:00:00,25.9,27.277825763275226,27.68771376429236,27.100907204229406,23.236746578061493,23.620945304329397,24.12628989908076,24.058506594384935,-0.06164587654773474,5.078679733935189,0.538070408662241,11.058398319355732,0.38958097944001715,8.16136106993217 
 05/03  10:10:00,26.2,27.270441942864605,27.67311016857135,27.095851062044795,23.343957147227817,23.711784930751017,24.19581879907889,24.08380067431163,-0.056205364879730389,5.065403035048448,0.549091987032794,11.311377602385491,0.40295224330643689,8.38341022671841 
 05/03  10:20:00,26.9,27.339452319919375,27.73557285296727,27.24492065965881,23.424610444226628,23.815967705619049,24.278680592224175,24.694778058138426,-0.013374008277334983,5.003702605999123,0.5744920669691743,11.914441227827894,0.43078827532607036,8.87022629803316 
 05/03  10:30:00,27.2,27.390895985764784,27.780097289406297,27.345616299689789,23.517065986776925,23.908851498990516,24.350501907976246,24.987698172947593,0.017599528842852334,5.006411932784644,0.5929984664865423,12.371455629803379,0.45166470086775525,9.257150643134864 
 05/03  10:40:00,27.3,27.45856835034263,27.83605021358842,27.452221412214198,23.662826309326097,24.027471668936604,24.44334319989669,25.19881099556504,0.04901311613067972,5.04973387191923,0.614587064961131,12.923367487075652,0.4767648343646384,9.74718508176116 
