Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZCUB5:Zone Mean Air Temperature [C](TimeStep),TZCUB6:Zone Mean Air Temperature [C](TimeStep),TZCUB7:Zone Mean Air Temperature [C](TimeStep),TZLABORATORIOS:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB5:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB6:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB7:Zone Mean Air Temperature [C](TimeStep) 
 05/03  05:00:00,20.8,25.27739290916587,25.369238792655236,25.106604482557477,25.227757036389183,24.750127983259568,25.14439197286441,23.595659197169103 
 05/03  05:10:00,20.8,25.214733181971764,25.32544101984519,25.074367201779958,25.10229592548005,24.66620263526904,25.06976123558046,23.818945842396674 
 05/03  05:20:00,20.1,25.125967244317715,25.253065323927325,24.927049742656537,24.98998258317003,24.579356987991415,24.990517445349238,23.697012281502599 
 05/03  05:30:00,20.1,25.045914093656824,25.18613746469286,24.772921706046966,24.892034098348387,24.503663202367937,24.923558117037126,23.91353243037589 
 05/03  05:40:00,19.5,24.99579260503594,25.143482530540714,24.7103219976959,24.82480813626913,24.42444451682121,24.853053102677295,23.308335926201374 
 05/03  05:50:00,19.6,24.948928671488806,25.10690386672427,24.76371029885683,24.739392999472778,24.3547126475629,24.792046128790586,22.397879937000668 
 05/03  06:00:00,19.5,24.90666011048188,25.075555942816103,24.70655626220381,24.656414321118097,24.27853515721457,24.72501994380184,22.94949394041499 
 05/03  06:10:00,19.6,24.84592666423407,25.031724831972054,24.630767481624209,24.535321828731996,24.19618795066665,24.65165837708011,23.242779847725907 
 05/03  06:20:00,19.9,24.818078862413118,25.015543188615426,24.69989397140516,24.448627810019955,24.119483604244203,24.58446951547833,22.445561305684384 
 05/03  06:30:00,19.6,24.77113141699036,24.98564661498517,24.733339472979489,24.33736822248454,24.041659492977499,24.515592341587014,22.704016058525477 
 05/03  06:40:00,19.4,24.729963350926718,24.955602476845529,24.669054471279297,24.255423222614117,23.96180456368561,24.44433656960387,22.202625403258709 
 05/03  06:50:00,19.5,24.684934202256483,24.92585390529897,24.55856329557042,24.140837074584569,23.888071423848645,24.379504038328134,22.17847735399657 
 05/03  07:00:00,19.8,24.673420479824548,24.92549735246748,24.522656687227163,24.050491514564859,23.816322180599835,24.317971195533887,22.988994140353083 
 05/03  07:10:00,20.1,24.67108681071205,24.930987125385707,24.45940293586998,23.974046336845296,23.757004291717018,24.26715029141144,23.560815401220589 
 05/03  07:20:00,20.1,24.660139348782179,24.936866713507553,24.394178261338995,23.830777829031168,23.683001730431259,24.20316074596632,23.313132703476108 
 05/03  07:30:00,20.7,24.68335064024168,24.967280099939019,24.483240314984159,23.77302945498363,23.633513733066587,24.163945928311919,22.709185656412477 
 05/03  07:40:00,21.2,24.711519503620047,25.00595050907478,24.57947419798292,23.70958010179134,23.584883856663944,24.123762007149236,23.146574803057314 
 05/03  07:50:00,22.0,24.76483944241611,25.08417677594297,24.708937114943156,23.594691985817705,23.531620099382225,24.078336653852973,23.36965311301288 
 05/03  08:00:00,22.9,24.818078244387317,25.16302719688762,24.787350513327657,23.519080658617886,23.492332075422629,24.045542542302444,23.615618010027018 
 05/03  08:10:00,24.3,24.884529265317306,25.252748751564945,24.860493009936957,23.484334408847955,23.46574808312766,24.025616336003379,23.862812306744087 
 05/03  08:20:00,24.3,24.929385137774145,25.31971492779927,24.910696610135834,23.47307651815087,23.437110940964844,24.00113624001204,23.779921289484329 
 05/03  08:30:00,24.4,24.9502585943958,25.3605185129963,24.940252041570554,23.478575824489547,23.417619915109346,23.9836724477803,23.769830312072256 
 05/03  08:40:00,24.7,24.967394867771885,25.389831702593189,24.969344227829958,23.504506888437814,23.411624108402746,23.978274166339089,23.91176188504064 
 05/03  08:50:00,25.1,25.000797943202735,25.42614680540754,25.010977509686396,23.555373365557544,23.418695514605959,23.983670812408165,24.041828914954797 
 05/03  09:00:00,25.4,25.048670949182588,25.470243086253693,25.064453986837319,23.63252877458929,23.43465867264049,23.995837701946376,23.95406002682216 
 05/03  09:10:00,25.9,26.596233868743665,27.037298754540573,26.58906922504646,23.715551435995978,23.460406739828863,24.01681683472225,24.27037430494038 
 05/03  09:20:00,26.2,26.944387731951389,27.343364003073416,26.92687726326552,23.821919667796853,23.49172814251319,24.041503225481426,24.395522411933578 
 05/03  09:30:00,26.3,27.176572270418313,27.56340856362501,27.14767439032449,23.9443931931922,23.5365020092127,24.07045597492742,24.371911599265386 
 05/03  09:40:00,26.4,27.6160252095887,27.98072147822093,27.5583304338619,24.167283017024425,23.599394101106289,24.1132405128862,24.32661038101122 
 05/03  09:50:00,26.4,27.79110399220816,28.14060853805241,27.715587723700606,24.361027150748219,23.66784354123369,24.157633996934828,24.31489693218132 
 05/03  10:00:00,25.9,27.78274476321267,28.121354861342508,27.700687473084323,24.5368706869873,23.73967628857308,24.209563181379708,24.19070837009051 
 05/03  10:10:00,26.2,27.78394198538884,28.110833184178149,27.709383436305694,24.720032786424846,23.82838856160268,24.278205506006516,24.184328064067718 
 05/03  10:20:00,26.9,27.863075194005739,28.179750776877325,27.815656266989554,24.871701574413444,23.93053232256399,24.35937533260445,24.74915407541361 
 05/03  10:30:00,27.2,27.9233146648249,28.229255379311334,27.903668198272123,25.035655802310715,24.021807769794678,24.4300232267625,25.020997840788796 
 05/03  10:40:00,27.3,28.00376041605523,28.292235698409038,28.013104293142289,25.279066236128754,24.13818089287911,24.521239403302727,25.252911436934295 
 05/03  10:50:00,27.4,28.05996496997871,28.334743413329116,28.077084523013274,25.45777526541101,24.2555221537468,24.613302258336718,24.86361152762933 
 05/03  11:00:00,27.6,28.15933425060719,28.41080241080107,28.203013215733365,25.73885768138227,24.388061324092655,24.718935214538523,25.2559383489482 
 05/03  11:10:00,28.5,28.247354139736716,28.482364094874776,28.3353558618372,25.93684056496309,24.531279151247799,24.83593467153445,25.57724907258224 
 05/03  11:20:00,28.0,28.30696312379079,28.525706199857006,28.4224121023595,26.136391848022958,24.657739128852538,24.935616066238248,25.677131986857078 
 05/03  11:30:00,29.1,28.370841219105527,28.577159273079049,28.520183112532707,26.29872225970434,24.813431894069234,25.063708932341485,26.027163160655097 
 05/03  11:40:00,29.2,28.45463456227985,28.64157328469089,28.639753800937425,26.52040681118088,24.973969090446798,25.18785015001514,26.20497505824759 
 05/03  11:50:00,29.9,28.520133320861694,28.69197650684434,28.729952120123273,26.695281732704776,25.13653377389374,25.316780532427854,26.72355723562923 
 05/03  12:00:00,30.5,28.635498095728317,28.781388959782026,28.888893102650138,26.954894952099808,25.35150534110185,25.475469870679267,27.01352160675968 
 05/03  12:10:00,31.4,28.701713145151439,28.834122895613427,28.990603605980028,27.090968415652158,25.530420039032479,25.63402573279525,27.70817959870317 
 05/03  12:20:00,30.8,28.750294343593518,28.866929034185959,29.056193174824768,27.247158217569344,25.682468606791205,25.755300269442686,27.138045597552119 
 05/03  12:30:00,30.6,28.84619859979318,28.933364841735945,29.15992509719116,27.498522329177498,25.891990600935146,25.9286854148415,27.567569438757567 
 05/03  12:40:00,30.8,28.926735573711637,28.989505118377534,29.250645472085293,27.689630925266234,26.078044652405106,26.0849752404235,27.695189882307358 
 05/03  12:50:00,30.9,28.973714646086763,29.022991068631293,29.315143429388365,27.806840824927109,26.246205366936065,26.229271273433647,27.04967452024224 
 05/03  13:00:00,31.5,29.01167631410321,29.043252381147526,29.382654769282448,27.934750242136717,26.39612301223518,26.35527223052859,27.52390623122345 
 05/03  13:10:00,31.8,29.07756072266406,29.0862924002073,29.41731086012125,28.09516307051043,26.577014569205475,26.51007356006862,28.41058559404494 
 05/03  13:20:00,32.0,29.21435709474915,29.192508080247138,29.596636251382657,28.278102329397738,26.780408980250635,26.687012463819135,27.604148639794084 
