Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZCUB5:Zone Mean Air Temperature [C](TimeStep),TZCUB6:Zone Mean Air Temperature [C](TimeStep),TZCUB7:Zone Mean Air Temperature [C](TimeStep),TZLABORATORIOS:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB5:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB6:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB7:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,23.0,26.79233891369292,26.457017042299254,26.22723576624901,28.09336159149265,26.902986499183016,26.951374213884479,26.000626901881163 
 05/03  00:20:00,23.0,26.722864020785374,26.39900881555384,26.195363898425524,28.02088748651886,26.85695641745165,26.91684111054763,25.618193444241077 
 05/03  00:30:00,23.0,26.594263200788654,26.295178631815334,26.19332631161015,27.89215942375136,26.780958542090489,26.85115418787487,25.31204013833299 
 05/03  00:40:00,22.8,26.500766653851195,26.22288314820993,26.09457340813809,27.78688640718681,26.71236100728554,26.793889011460825,25.531913991416955 
 05/03  00:50:00,22.7,26.488042011540256,26.217292690561139,26.00626513759729,27.732541965769629,26.65098984775735,26.746353404907184,25.105198233423324 
 05/03  01:00:00,22.6,26.419179038437485,26.16998591322062,25.83316118889072,27.612451569630374,26.571955971405069,26.678167208146975,25.554739406087433 
 05/03  01:10:00,22.5,26.359675388176698,26.128823455814069,25.862814665338385,27.514886587789069,26.501025579829457,26.620480506632469,25.05987310510133 
 05/03  01:20:00,22.4,26.308033682827156,26.093777412787469,25.901573805148759,27.41938685194173,26.42772253586991,26.560673540475727,25.205652354174075 
 05/03  01:30:00,22.3,26.258869561119178,26.061140040277956,25.92281313891362,27.316940980588407,26.34926843022439,26.496029866305994,25.059449829251848 
 05/03  01:40:00,22.4,26.21457532575092,26.033759094723764,25.900548502701505,27.21322951274916,26.27471150465229,26.43488306255846,24.9907194258411 
 05/03  01:50:00,22.5,26.175196272508616,26.01134512762503,25.79127104648196,27.11109485123853,26.20120214382541,26.375128557211469,25.249999964360986 
 05/03  02:00:00,22.3,26.130826630171055,25.983585921989869,25.690311551657687,27.009698213475234,26.124083554645105,26.31207045538243,25.033675173232138 
 05/03  02:10:00,22.1,26.100160671820313,25.961292360431707,25.741484959157874,26.941913417569837,26.05420486192199,26.25685609576786,24.656141072467343 
 05/03  02:20:00,22.0,26.046458789910895,25.922350956195037,25.64757558776585,26.835082773084989,25.975085852770179,26.19141295042839,24.70949778572288 
 05/03  02:30:00,22.0,25.985496654889859,25.87965477933874,25.622916862936078,26.710585741215465,25.892931388403757,26.124073093190427,24.444817105122426 
 05/03  02:40:00,21.9,25.930445878945084,25.841752003832395,25.519960538007024,26.598589771698845,25.817056648313675,26.062443508234599,24.309551371276585 
